,선명,역명,주소,위도,경도
153,5호선,신정(은행정),서울특별시 양천구 오목로 지하179(신정동),37.5238539,126.8584224
154,5호선,아차산(어린이대공원후문),서울특별시 광진구 천호대로 지하657(능동),37.5505785,127.0817378
155,5호선,애오개,서울특별시 마포구 마포대로 지하210(아현동),37.5544849,126.9562273
156,5호선,양평,서울특별시 영등포구 양산로 지하21(양평동2가),37.5229518,126.8835309
157,5호선,여의나루,서울특별시 영등포구 여의동로 지하343(여의도동),37.5234916,126.930651
158,5호선,여의도,서울특별시 영등포구 여의나루로 지하40(여의도동),37.5213559,126.9249795
159,5호선,영등포구청,서울특별시 영등포구 양산로 지하116(당산동3가),37.5269397,126.8985416
160,5호선,영등포시장,서울특별시 영등포구 양산로 지하200(영등포동5가),37.5210747,126.9066805
161,5호선,오금,서울특별시 송파구 오금로 지하321(오금동),37.5041934,127.1344585
162,5호선,오목교(목동운동장앞),서울특별시 양천구 오목로 지하342(목동),37.526072,126.864301
163,5호선,올림픽공원(한국체대),서울특별시 송파구 양재대로 지하1233(방이동),37.511246,127.1293615
164,5호선,왕십리,서울특별시 성동구 왕십리로 지하300(행당동),37.5596331,127.0303221
165,5호선,우장산,서울특별시 강서구 강서로 지하262(화곡동),37.5512896,126.8417531
166,5호선,을지로4가,서울특별시 중구 창경궁로 지하51(주교동),37.56889,126.9995436
167,5호선,장한평,서울특별시 동대문구 천호대로 지하405(장안동),37.564181,127.0633192
168,5호선,종로3가(탑골공원),서울특별시 종로구 돈화문로11길 지하 26(돈의동),37.572586,126.9900433
169,5호선,천호(풍납토성),서울특별시 강동구 천호대로 지하997(천호동),37.5443765,127.1276202
170,5호선,청구,서울특별시 중구 청구로 지하77(신당동),37.5607672,127.0144712
171,5호선,충정로(경기대입구),서울특별시 서대문구 충정로 지하 28-1(충정로3가),37.5624087,126.9615382
172,5호선,하남검단산역,경기도 하남시 대청로 지하100(창우동),37.5396625,127.2281275
173,5호선,하남시청(덕풍·신장),경기도 하남시 하남대로 지하820(덕풍동),37.5476396,127.2089488
174,5호선,하남풍산,경기도 하남시 덕풍서로 지하50(덕풍동),37.5518381,127.2029261
175,5호선,행당,서울특별시 성동구 행당로 지하89(행당동),37.5567086,127.0272721
176,5호선,화곡,서울특별시 강서구 화곡로 지하168(화곡동),37.5487046,126.8450968
177,6호선,고려대(종암),서울특별시 성북구 종암로 지하1(종암동),37.5981288,127.0404024
178,6호선,공덕,서울특별시 마포구 백범로 지하200(공덕동),37.5491304,126.9516779
179,6호선,광흥창(서강),서울특별시 마포구 독막로 지하165(창전동),37.5452972,126.9310644
180,6호선,구산,서울특별시 은평구 연서로 지하137-1(구산동),37.6134018,126.9050205
181,6호선,녹사평(용산구청),서울특별시 용산구 녹사평대로 지하195(용산동4가),37.5305359,126.9851825
182,6호선,대흥(서강대앞),서울특별시 마포구 대흥로 지하85(대흥동),37.5497599,126.9431416
183,6호선,독바위,서울특별시 은평구 불광로 지하129-1(불광동),37.6217371,126.9272708
184,6호선,돌곶이,서울특별시 성북구 화랑로 지하243(석관동),37.611277,127.0580352
185,6호선,동묘앞,서울특별시 종로구 지봉로 지하24(숭인동),37.5753626,127.0154315
186,6호선,디지털미디어시티,서울특별시 은평구 수색로 지하175(증산동),37.58214359999999,126.9062444
187,6호선,마포구청,서울특별시 마포구 월드컵로 지하190(성산동),37.5656178,126.9046897
188,6호선,망원,서울특별시 마포구 월드컵로 지하77(망원동),37.5554884,126.8998606
189,6호선,버티고개,서울특별시 중구 다산로 지하38(신당동),37.5599012,127.0198098
190,6호선,보문,서울특별시 성북구 보문로 지하116(보문동1가),37.5866501,127.0196841
191,6호선,봉화산(서울의료원),서울특별시 중랑구 신내로 지하232(신내동),37.6109947,127.0937399
192,6호선,불광,서울특별시 은평구 통일로 지하723-1(대조동),37.61204770000001,126.923359
193,6호선,삼각지,서울특별시 용산구 한강대로 지하185(한강로1가),37.5329296,126.9744105
194,6호선,상수,서울특별시 마포구 독막로 지하85(상수동),37.54961590000001,126.9224682
195,6호선,상월곡(한국과학기술연구원),서울특별시 성북구 화랑로 지하157(상월곡동),37.6060997,127.0478098
196,6호선,새절(신사),서울특별시 은평구 증산로 지하400(신사동),37.595613,126.9072033
197,6호선,석계,서울특별시 노원구 화랑로 지하 347-1(월계동),37.6282394,127.0567599
198,6호선,신내,서울특별시 중랑구 용마산로136길 33 신내차량기지,37.6190542,127.1073132
199,6호선,신당,서울특별시 중구 다산로 지하260(흥인동),37.56731,127.0163823
200,6호선,안암(고대병원앞),서울특별시 성북구 고려대로 지하89(안암동5가),37.5860125,127.025563
