,이름,별점,주소
300,충정로역 개방화장실,3.0,서울 서대문구 충정로3가                303-2                
301,삼창빌딩 개방화장실,,서울 서대문구                충정로 13                 (우)03737
302,K1 REIT 빌딩 국민연금공단충정로사옥 개방화장실,3.0,서울 서대문구                충정로 36                 (우)03741
303,영등포구청청사 개방화장실,,서울 영등포구                당산로 123                 (우)07260
304,당산공원 개방화장실,,서울 영등포구                당산로27길 12                 (우)07260
305,우미빌딩 개방화장실,,서울 영등포구                당산로 122                 (우)07259
306,영등포구청역 개방화장실,,서울 영등포구 당산동3가                556-1                
307,당산1동 주민센터 청사 개방화장실,,서울 영등포구                양산로23길 11                 (우)07259
308,인곡빌딩 개방화장실,,서울 영등포구                양산로 107                 (우)07260
309,현대상가 지하1층 개방화장실,,서울 영등포구                당산로 95                 (우)07264
310,인곡빌딩 지하1층 개방화장실,,서울 영등포구                양산로 107                 (우)07260
311,다산어린이공원 1층 개방화장실,,서울 중구 신당동                123-1                
312,황학어린이공원 황학동 개방화장실,,서울 중구                다산로48길 33                 (우)04576
313,신당역 개방화장실,,서울 중구                퇴계로 432                 (우)04577
314,유락종합사회복지관 개방화장실,,서울 중구                퇴계로 460                 (우)04579
315,금영빌딩 개방화장실,,서울 중구                다산로42길 93                 (우)04578
316,신당5동주민센터 1층 개방화장실,,서울 중구                다산로44길 85                 (우)04578
317,신당역공영주차장 개방화장실,,서울 중구                다산로44길 67                 (우)04578
318,황학동 주민센터 1층 개방화장실,,서울 중구                난계로11길 52                 (우)04575
319,서교공원 개방화장실,,서울 마포구                양화로11길 21                 (우)04037
320,메세나폴리스1 1층 개방화장실,,서울 마포구                양화로 45                 (우)04036
321,메세나폴리스2 개방화장실,,서울 마포구                양화로 45                 (우)04036
322,합정역 개방화장실,,서울 마포구                양화로 지하 45                 (우)04027
323,명지빌드웰 개방화장실,,서울 마포구                양화로 58                 (우)04045
324,서교119안전센터 개방화장실,,서울 마포구                양화로 60                 (우)04045
325,삼성화재 개방화장실,,서울 마포구                양화로 81                 (우)04034
326,합정동주민센터 개방화장실,,서울 마포구 합정동                473                
327,메세나폴리스3 개방화장실,,서울 마포구                양화로 45                2층 (우)04036
328,합정역 개방화장실,,서울 마포구                양화로 지하 55                 (우)04037
329,조양시장 개방화장실,,서울 광진구                아차산로30길 39                 (우)05073
330,화양공원 개방화장실,,서울 광진구 화양동                8-36                
331,캠퍼스프라자 개방화장실,,서울 광진구                동일로22길 81                 (우)05018
332,건대입구역 개방화장실,,서울 광진구                능동로 지하 110                 (우)05030
333,광진문화예술회관 개방화장실,,서울 광진구                능동로 76                 (우)05065
334,롯데백화점 개방화장실,,서울 광진구                능동로 90                 (우)05065
335,대림역 개방화장실,,서울 영등포구 대림동                1050-40                
336,대림역 개방화장실,4.0,서울 구로구                도림천로 351                 (우)08304
337,향군타워B동 개방화장실,,서울 송파구                올림픽로35길 125                 (우)05510
338,홈플러스 개방화장실,,서울 송파구                올림픽로35가길 16                 (우)05510
339,잠실역 개찰구 밖 개방화장실,,서울 송파구 신천동                8                
340,롯데캐슬프라자 개방화장실,,서울 송파구                올림픽로 269                 (우)05510
341,롯데백화점 에비뉴엘월드타워점 개방화장실,,서울 송파구                올림픽로 300                 (우)05551
342,국민연금본부회관 개방화장실,,서울 송파구                올림픽로35다길 13                 (우)05510
343,서원주유소 개방화장실,,서울 송파구                중대로 154                 (우)05825
344,가락공원2 족구장 개방화장실,,서울 송파구                양재대로64길 42                 (우)05715
345,국립경찰병원 개방화장실,1.0,서울 송파구                송이로 123                 (우)05715
346,경찰병원역 개찰구 안 밖 개방화장실,,서울 송파구                중대로 지하 149                 (우)05715
347,현대파크빌상가빌딩 개방화장실,,서울 송파구                중대로 174                 (우)05824
348,잠원역 개방화장실,,서울 서초구                잠원로4길 지하 46                 (우)06522
349,잠원동주민센터 개방화장실,,서울 서초구                나루터로 38                 (우)06523
