,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
81,까치산,2719,340987,682442,1763040,2294370,1270108,846372,808997,876157,867265,839361,961382,1132433,1340989,1997196,1522908,1000179,931957,777830,475859,119146,4917,88,0,20856702,까치산까치산,서울특별시
331,쌍문,3370,320807,789812,1789598,1971231,1263947,944364,876789,927823,902298,870492,972321,1156943,1364063,1782127,1540507,985226,866032,783733,482554,100243,495,1,0,20694776,쌍문,서울특별시
520,화곡,3704,316051,663256,1692480,2320328,1268479,838523,791620,849280,863222,826711,910709,1127450,1379676,2064834,1472074,917800,851092,733068,432682,111298,323,70,7,20434737,화곡,서울특별시
83,낙성대,433,174627,472119,1312136,2158729,1480845,935688,801701,883745,897521,868548,944344,1095533,1370439,1944007,1496407,1013125,965272,912602,547424,131083,2635,143,0,20409106,낙성대,서울특별시
80,김포공항,345,131029,572152,996587,1232912,978379,1076350,1258166,1296868,1357424,1374642,1418249,1452541,1677251,1818508,1183953,857584,782395,669279,208599,38101,640,31,13,20381998,김포공항김포공항,서울특별시
484,충무로,1206,85813,351902,834771,2372128,1525227,992641,915867,912327,979143,979129,1022726,1175014,1680835,2407250,1189021,834691,810476,673100,381571,70366,1316,84,6,20196610,충무로충무로,서울특별시
170,명동,384,29247,262334,696016,1572244,1224581,957116,1045401,1159691,1161746,1183586,1354425,1468004,1739313,2192777,1265035,1033911,894447,656762,256800,36412,1266,8,0,20191506,명동,서울특별시
183,미아사거리,854,230553,587825,1440987,1657362,1192934,924067,904396,959926,981452,1009606,1152098,1331196,1460235,1864563,1435409,1004008,802238,682193,373956,64897,246,2,0,20061003,미아사거리,서울특별시
525,회기,11200,213274,450017,1116172,1723109,1184030,979746,956429,1041883,1073448,1030240,1133650,1303491,1568872,1738678,1197915,861752,885275,917972,540166,76321,263,0,0,20003903,회기,서울특별시
12,강남구청,664,72175,342228,812946,2370685,2147880,1017650,775194,770787,862743,859116,922435,1042824,1462972,2361602,1355051,822865,757220,588823,266741,52841,49,0,0,19665491,강남구청,서울특별시
466,창동,26358,248729,675916,1358189,1515872,1059081,904968,878044,974969,1024522,1032439,1124076,1282618,1445561,1785560,1350179,873462,775865,681099,396642,111581,1285,2,0,19527017,창동창동,서울특별시
337,안국,275,41326,309929,1201702,1558626,1126440,948974,1100865,1112954,1157915,1251992,1326791,1524596,1939402,1919067,870250,666334,589213,359590,130030,17018,117,42,2,19153450,안국,서울특별시
527,회현,249,29517,296617,742247,1788317,1401392,1165833,1253399,1234200,1273320,1357393,1383181,1447162,1619210,1885131,825200,690352,366964,229988,97168,17454,831,2,0,19105127,회현(남대문시장),서울특별시
65,군자,1033,226864,497485,1128830,2060054,1240509,765601,712968,778948,822008,804808,887532,1061238,1403634,2031848,1354829,909885,857379,758818,448132,140670,12412,235,0,18905720,군자(능동)군자(능동),서울특별시
310,신대방,2328,341441,573142,1365222,2064156,1305889,820747,721352,760531,776460,760771,875979,1002668,1236469,1649645,1340216,921637,920270,845252,481787,114414,2719,75,0,18883170,신대방,서울특별시
29,경복궁,1008,54411,261853,701519,1893991,1385123,1041879,1049117,1073217,1156293,1197606,1250349,1358405,1569260,1919757,915684,689283,662625,471078,199821,29692,543,474,5,18882993,경복궁(정부서울청사),서울특별시
370,영등포구청,551,135376,404021,1144645,2651969,1274712,754125,731619,769989,818382,817685,856532,1004090,1383042,2439430,1097139,733295,689371,568443,320688,79233,2067,183,5,18676592,영등포구청영등포구청,서울특별시
273,성신여대입구,403,113600,367231,911626,1377093,966974,799303,893665,940072,982871,1017090,1052222,1211992,1466973,1775740,1253313,917819,914230,819826,454672,93910,350,4,0,18330979,성신여대입구(돈암),서울특별시
447,종로5가,531,71169,234639,601057,1367152,969553,989532,1186425,1287479,1332600,1380200,1348188,1346544,1539043,1667891,876031,571766,508295,334579,124911,14104,106,2,0,17751797,종로5가,서울특별시
60,구의,703,189901,556089,1071243,1974201,1202443,728787,654711,703815,733587,719214,823694,998431,1206377,1760423,1175937,797495,765217,713145,406843,103267,1826,105,14,17287468,구의(광진구청),서울특별시
309,신당,1519,181507,405609,848248,1637055,1056477,768612,768240,850710,875038,840418,898496,1093744,1302689,1668242,1159658,792466,751792,727664,421828,96603,1010,69,0,17147694,신당신당,서울특별시
209,봉천,973,215738,451983,1204500,1910285,1224037,781824,709869,763319,784385,751996,847088,955139,1112276,1528290,1203233,787107,736371,671237,381727,103501,4329,63,11,17129281,봉천,서울특별시
