호선명,역명,사용월,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
4호선,수유,2629183,1340,320547,769479,1742600,2262400,1515003,1124318,1098259,1158982,1195494,1196019,1302928,1562751,1838395,2442710,1913367,1255824,1127317,992347,629318,109071,553,3,0,25559025,수유(강북구청),서울특별시
4호선,숙대입구,2629183,161,46224,190697,517174,967036,634900,511193,482118,513578,523553,522095,564309,722363,888513,1146970,644099,489484,475075,423160,224710,33638,375,2,0,10521427,숙대입구(갈월),서울특별시
4호선,신용산,2629183,108,32420,211626,608923,1366306,1041925,586273,557490,592037,645083,629911,718634,855515,1248496,1751272,884073,624641,580950,425649,205014,27283,304,4,0,13593937,신용산,서울특별시
4호선,쌍문,2629183,3370,320807,789812,1789598,1971231,1263947,944364,876789,927823,902298,870492,972321,1156943,1364063,1782127,1540507,985226,866032,783733,482554,100243,495,1,0,20694776,쌍문,서울특별시
4호선,이촌,2629183,336,27457,153709,335878,565813,475191,409393,402534,479030,504072,503712,544920,608275,642975,668542,345951,244879,224746,164733,79280,15344,381,1,0,7397152,이촌(국립중앙박물관),서울특별시
4호선,창동,2629183,26358,248727,675914,1358185,1515861,1059071,904957,878037,974963,1024516,1032427,1124069,1282603,1445544,1785538,1350167,873458,775854,681090,396636,111577,1285,2,0,19526839,창동,서울특별시
4호선,총신대입구,2629183,1344,91922,332136,846415,1316849,891529,696706,689086,742133,785166,777254,854552,967509,1173695,1549728,957984,673977,590596,517304,276002,44204,5678,5,0,14781774,총신대입구(이수),서울특별시
4호선,충무로,2629183,1206,85813,351900,834767,2372124,1525219,992622,915847,912308,979119,979108,1022703,1174979,1680788,2407185,1188966,834644,810428,673050,381536,70338,1315,84,6,20196055,충무로,서울특별시
4호선,한성대입구,2629183,776,98205,253906,611208,851808,652902,525141,507522,556460,573297,559670,598606,738415,815306,888029,639626,466747,428457,375940,215732,82853,16230,105,0,10456941,한성대입구(삼선교),서울특별시
4호선,혜화,2629183,327,79831,396114,868523,1776961,1441242,1274937,1322655,1501694,1764348,1770940,1828342,1990681,2337263,2584712,1644792,1216070,1495222,1358902,539176,78718,4294,24,0,27275768,혜화,서울특별시
4호선,회현,2629183,249,29517,296617,742247,1788317,1401392,1165833,1253399,1234200,1273320,1357393,1383181,1447162,1619210,1885131,825200,690352,366964,229988,97168,17454,831,2,0,19105127,회현(남대문시장),서울특별시
5호선,강동,2629183,1339,154934,400261,1077244,1506154,815987,591767,561462,593353,630900,607481,667116,761586,996342,1275492,805070,554245,489909,422596,248785,85887,315,57,0,13248282,강동,서울특별시
5호선,강일,2629183,20,42633,140497,346569,365683,210377,163449,144721,159299,149578,144332,174108,209636,251974,312411,247823,149191,134690,117284,77034,20844,63,0,0,3562216,강일,서울특별시
5호선,개롱,2629183,115,55100,164447,395848,494450,276608,214179,203876,219808,230935,220668,237608,327335,364376,435638,336023,201028,172027,170803,84142,22850,54,18,1,4827937,개롱,서울특별시
5호선,개화산,2629183,25,61717,159347,366533,460805,233591,172384,173709,192827,179269,172778,193179,231155,285679,384102,267998,162001,149166,133288,70807,22629,658,2,4,4073653,개화산,서울특별시
5호선,거여,2629183,25,91227,262471,740252,789451,427892,299211,278487,294443,323017,293608,327810,452009,502141,677136,525465,294320,261582,257490,132339,38930,120,19,5,7269450,거여,서울특별시
5호선,고덕,2629183,81,75988,227808,587744,561383,392468,352234,346097,362528,400573,373491,425284,509149,517783,602165,459783,272233,265336,254296,113345,40506,1929,2,0,7142206,고덕,서울특별시
5호선,공덕,2629183,126,35338,161655,651505,1431815,724615,388928,394580,410626,434476,408838,439131,541503,893596,1437268,615331,424523,428939,359908,177542,32956,121,75,3,10393398,공덕,서울특별시
5호선,광나루,2629183,83,93014,312508,720186,1035539,642450,506816,454211,480802,499248,485098,525966,631843,725674,940304,576544,404385,405166,342291,169747,35103,334,36,0,9987348,광나루(장신대),서울특별시
5호선,광화문,2629183,268,29683,395778,1096583,3503366,1693068,898281,975203,962582,1114384,1105565,1166520,1353919,2014417,3344112,1277492,916649,943859,650307,239695,37444,874,1649,0,23721698,광화문(세종문화회관),서울특별시
5호선,군자,2629183,502,101585,222433,539087,928230,504901,335119,324490,363858,387474,378605,411814,503907,694318,1030367,652808,431784,408909,374235,230230,84265,11813,211,0,8920945,군자(능동),서울특별시
5호선,굽은다리,2629183,26,99721,218387,545754,676313,418999,321967,320760,337962,348860,336418,351424,426189,473629,648520,470884,308092,277692,258625,124102,40774,122,5,0,7005225,굽은다리(강동구민회관앞),서울특별시
5호선,길동,2629183,99,69575,168202,382392,572902,370769,290108,295117,321944,321992,321018,344466,411206,452290,564951,380885,247858,213700,185868,96110,35026,76,5,0,6046559,길동,서울특별시
5호선,김포공항,2629183,46,38503,150384,257028,337687,265466,300936,364968,382395,412321,425385,446337,458036,520679,560151,355274,251691,215084,182056,59823,9448,101,3,11,5993813,김포공항,서울특별시
5호선,까치산,2629183,2719,340987,682442,1763040,2294370,1270108,846372,808997,876157,867265,839361,961382,1132433,1340989,1997196,1522908,1000179,931957,777830,475859,119146,4917,88,0,20856702,까치산,서울특별시
5호선,답십리,2629183,353,131998,332787,883823,1399728,712267,482070,444608,484113,504939,473097,529898,622711,808112,1160192,701113,457177,405005,351688,194148,50130,321,74,0,11130352,답십리,서울특별시
5호선,동대문역사문화공원,2629183,9,6318,42571,138354,418058,183220,86050,79260,75755,79195,86876,90312,112093,190023,318133,131129,77198,70966,55793,30842,7187,94,12,0,2279448,동대문역사문화공원,서울특별시
5호선,둔촌동,2629183,30,61616,225135,444788,605224,355723,283404,275400,293871,315914,302797,345221,420680,511365,650588,415575,240576,233198,192765,102240,20564,59,14,0,6296747,둔촌동,서울특별시
5호선,마곡,2629183,42,65347,204069,508879,963424,582400,323569,288327,303969,328852,328165,365364,458887,622760,870883,489510,299829,262084,222881,105446,31896,95,25,0,7626703,마곡,서울특별시
5호선,마장,2629183,6,38650,124119,285318,466633,277093,207796,197239,224600,212051,199740,217463,251841,297309,388640,246334,164318,152093,132790,71194,17779,211,16,0,4173233,마장,서울특별시
5호선,마천,2629183,673,95937,221364,592499,568237,315247,230912,206002,224571,225691,201742,253474,303093,342053,469024,370921,207225,200701,179435,104555,37915,103,11,14,5351399,마천,서울특별시
5호선,마포,2629183,240,46674,206665,617535,1387596,685849,409854,423080,424548,446266,418662,454276,541496,845931,1348774,615321,437777,448568,356417,183376,33216,131,54,2,10332308,마포,서울특별시
5호선,명일,2629183,109,82283,228776,548963,589403,370579,329501,302902,307181,324176,307541,337493,425437,422085,638597,477797,278662,249499,233320,126168,39270,203,5,0,6619950,명일,서울특별시
5호선,목동,2629183,125,123522,339644,967377,1311895,730241,520426,483041,527514,555435,539579,590427,718451,937691,1397105,914221,575327,548654,527054,260842,66462,146,47,0,12635226,목동,서울특별시
5호선,발산,2629183,49,74603,301958,841476,1828787,993382,629028,662050,695561,747569,761174,837396,955072,1321242,1802413,984708,674028,620826,526115,253012,53000,177,71,1,15563698,발산,서울특별시
5호선,방이,2629183,26,42450,147513,346231,548913,312704,236729,211560,263586,259148,254616,287586,333442,446778,548618,353430,234578,237042,231802,89688,17074,71,18,0,5403603,방이,서울특별시
5호선,방화,2629183,178,66401,190247,426560,498164,281503,224152,221683,236645,240273,236905,257059,298613,319810,410562,317065,206600,174034,162594,94128,32300,3073,15,5,4898569,방화,서울특별시
5호선,상일동,2629183,573,143559,480128,1158981,943670,561432,430730,380975,437443,432610,402066,490449,541605,702894,957582,787453,444076,395298,342752,209857,89259,15075,8,0,10348475,상일동,서울특별시
5호선,서대문,2629183,131,52808,269391,1116008,2423212,853278,510524,523892,515899,558279,545868,587561,720573,1184783,1828141,601083,452971,433167,321578,150868,27854,457,51,0,13678377,서대문,서울특별시
5호선,송정,2629183,319,63850,155390,353199,445852,287045,228972,219107,232761,228998,226700,243551,287059,330596,421123,299574,204326,185734,164549,95221,26336,96,6,15,4700379,송정,서울특별시
5호선,신금호,2629183,395,44077,128567,380853,537832,295280,204451,193851,215352,223156,216265,250311,306785,342962,464884,318563,205825,181422,157255,92487,24782,88,32,1,4785476,신금호,서울특별시
5호선,신길,2629183,779,28004,77224,252140,476312,204454,108686,101594,108941,110918,104761,116484,148793,230788,404413,206395,153771,156659,142618,90550,22816,198,68,0,3247366,신길,서울특별시
5호선,신정,2629183,983,170025,353840,945018,1190162,597183,368133,338291,359545,355899,334466,385890,470860,567889,828931,577116,372828,354203,328427,192625,48344,156,31,0,9140845,신정(은행정),서울특별시
5호선,아차산,2629183,160,133819,295745,730107,1136727,678560,540060,520700,558552,572260,575590,644885,726633,821881,1045751,706980,470039,417506,348703,186557,44563,125,19,0,11155922,아차산(어린이대공원후문),서울특별시
5호선,애오개,2629183,430,35226,125277,347590,658453,329692,200747,196180,208723,230418,216347,233485,262102,353871,551744,270509,178492,158490,139648,76957,30350,4047,48,52,4808878,애오개,서울특별시
