호선명,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
3호선,신사,76,5800,24324,54521,117615,149239,87241,73473,76492,83888,87964,93738,106298,142271,195819,125624,79134,79816,67713,32080,5157,14,9,0,1688308,신사,서울특별시
3호선,안국,21,3179,23841,92439,119894,86649,72998,84682,85612,89070,96307,102061,117277,149185,147621,66942,51256,45324,27661,10002,1309,9,3,0,1473342,안국,서울특별시
3호선,압구정,99,5060,31256,62888,172034,173194,105852,96628,90776,99238,102710,108405,121241,153216,202552,128471,91166,71359,54005,18902,3624,173,7,0,1892857,압구정,서울특별시
3호선,약수,112,7740,16789,40684,71118,48459,34376,33092,35370,36189,36633,39400,46427,55028,74834,45667,32549,31593,26890,14195,3900,372,2,5,731425,약수,서울특별시
3호선,양재,96,7822,56631,139509,274344,151334,87772,80644,79818,90416,88295,97479,116860,185946,267524,134645,93928,86522,64713,26992,4410,30,6,0,2135737,양재(서초구청),서울특별시
3호선,연신내,269,27797,61711,147631,179296,121549,92357,89874,99725,96781,94535,105225,124565,135360,179140,145557,91852,84166,73015,44765,11120,44,8,0,2006341,연신내,서울특별시
3호선,오금,29,4004,10645,32114,43203,21425,14280,12485,14089,14264,12951,14914,17899,24695,32621,19957,13575,12157,12844,6570,2190,8,0,0,336919,오금,서울특별시
3호선,옥수,256,3827,14117,31014,44427,31998,24069,24353,25244,27027,27750,30400,34538,42081,50600,34921,24788,22661,19811,9850,1801,4,1,0,525539,옥수,서울특별시
3호선,을지로3가,23,1600,9891,35108,82108,37746,23555,23310,23336,25489,26223,27889,32698,56901,85943,36992,23937,23361,18940,10594,1415,14,3,0,607075,을지로3가,서울특별시
3호선,일원,7,3751,19360,54469,48795,36185,33575,30227,32364,31771,32082,35580,42442,51025,38604,27378,17578,15348,15048,6621,1391,21,1,0,573621,일원,서울특별시
