,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총승차인원(평균),호선명,지하철역,주소
124,삼전,6.0,4987.0,9493.0,24669.0,44542.0,28909.0,17431.0,15361.0,16886.0,17425.0,16706.0,17974.0,20784.0,27990.0,40382.0,28462.0,18802.0,17564.0,15398.0,8895.0,2374.0,383.0,0.0,0.0,395419.0,9호선,삼전,서울특별시
239,증미,1.0,3192.0,12003.0,31482.0,60479.0,24853.0,15418.0,14255.0,14985.0,15049.0,14674.0,16692.0,19339.0,28892.0,49841.0,24565.0,14028.0,12317.0,9904.0,6429.0,1373.0,5.0,0.0,0.0,389773.0,9호선,증미,서울특별시
30,구산,8.0,5548.0,13765.0,36742.0,44952.0,24579.0,17956.0,18074.0,19286.0,18475.0,17158.0,20136.0,24633.0,24507.0,30219.0,25555.0,14654.0,13320.0,11720.0,6440.0,1720.0,3.0,0.0,0.0,389450.0,6호선,구산,서울특별시
221,이촌,46.0,1916.0,9004.0,19404.0,30847.0,24921.0,20972.0,20557.0,23597.0,24982.0,24664.0,27030.0,30607.0,33169.0,34954.0,19250.0,13957.0,12813.0,9819.0,4744.0,946.0,15.0,0.0,0.0,388214.0,4호선,이촌(국립중앙박물관),서울특별시
61,대방,257.0,4458.0,10586.0,32133.0,45871.0,24356.0,16425.0,15711.0,17168.0,17908.0,16953.0,18444.0,20635.0,30405.0,41665.0,21574.0,15539.0,15391.0,12523.0,6863.0,1091.0,22.0,0.0,0.0,385976.0,1호선,대방,서울특별시
167,신방화,5.0,5311.0,13890.0,33278.0,39096.0,21541.0,16875.0,16511.0,18572.0,17937.0,17011.0,20164.0,23055.0,24436.0,35709.0,26410.0,17127.0,14625.0,12878.0,7894.0,2265.0,6.0,0.0,0.0,384595.0,9호선,신방화,서울특별시
121,삼각지,10.0,1743.0,8459.0,21394.0,35364.0,20084.0,15129.0,16229.0,18031.0,19533.0,18836.0,20507.0,24549.0,32787.0,43329.0,22947.0,17014.0,16711.0,15608.0,8995.0,1824.0,12.0,0.0,0.0,379093.0,4호선6호선,삼각지삼각지,서울특별시
205,올림픽공원,16.0,2592.0,10502.0,19631.0,29635.0,19792.0,17255.0,17227.0,19884.0,20236.0,20341.0,23532.0,27059.0,30300.0,31999.0,21741.0,19106.0,21006.0,18082.0,7325.0,1339.0,13.0,1.0,0.0,378612.0,5호선9호선,올림픽공원(한국체대)올림픽공원(한국체대),서울특별시
109,방화,14.0,5108.0,14634.0,32812.0,38320.0,21654.0,17242.0,17053.0,18203.0,18483.0,18223.0,19774.0,22970.0,24601.0,31582.0,24390.0,15892.0,13387.0,12507.0,7241.0,2485.0,236.0,1.0,0.0,376813.0,5호선,방화,서울특별시
98,몽촌토성,2.0,3126.0,11081.0,21631.0,44062.0,25843.0,16701.0,17083.0,17152.0,17755.0,17510.0,19205.0,23995.0,29384.0,38625.0,22724.0,15184.0,14718.0,12158.0,6231.0,1554.0,4.0,0.0,0.0,375728.0,8호선,몽촌토성(평화의문),서울특별시
9,개롱,9.0,4238.0,12650.0,30450.0,38035.0,21278.0,16475.0,15683.0,16908.0,17764.0,16974.0,18278.0,25180.0,28029.0,33511.0,25848.0,15464.0,13233.0,13139.0,6472.0,1758.0,4.0,1.0,0.0,371380.0,5호선,개롱,서울특별시
183,애오개,33.0,2710.0,9637.0,26738.0,50650.0,25361.0,15442.0,15091.0,16056.0,17724.0,16642.0,17960.0,20162.0,27221.0,42442.0,20808.0,13730.0,12192.0,10742.0,5920.0,2335.0,311.0,4.0,4.0,369914.0,5호선,애오개,서울특별시
169,신설동,163.0,4742.0,8224.0,19779.0,40267.0,25101.0,19046.0,18889.0,19778.0,21140.0,20272.0,21585.0,24243.0,29334.0,37162.0,18900.0,12889.0,11924.0,9482.0,5514.0,1209.0,76.0,1.0,0.0,369721.0,1호선2호선,신설동신설동,서울특별시
155,신금호,30.0,3391.0,9890.0,29296.0,41372.0,22714.0,15727.0,14912.0,16566.0,17166.0,16636.0,19255.0,23599.0,26382.0,35760.0,24505.0,15833.0,13956.0,12097.0,7114.0,1906.0,7.0,2.0,0.0,368114.0,5호선,신금호,서울특별시
140,석촌고분,2.0,3115.0,8104.0,21900.0,43215.0,27756.0,16511.0,14821.0,16268.0,16610.0,15424.0,17456.0,20152.0,25241.0,39080.0,24988.0,17347.0,15553.0,13262.0,7621.0,2019.0,5.0,0.0,0.0,366446.0,9호선,석촌고분,서울특별시
156,신길,381.0,7032.0,11263.0,31063.0,48700.0,22364.0,13379.0,12423.0,14254.0,13728.0,12969.0,14634.0,18594.0,26653.0,41200.0,21607.0,15436.0,15719.0,13218.0,7728.0,1595.0,8.0,3.0,0.0,363952.0,1호선5호선,신길신길,서울특별시
146,송정,25.0,4912.0,11953.0,27169.0,34296.0,22080.0,17613.0,16854.0,17905.0,17615.0,17438.0,18735.0,22081.0,25430.0,32394.0,23044.0,15717.0,14287.0,12658.0,7325.0,2026.0,7.0,0.0,1.0,361568.0,5호선,송정,서울특별시
130,상월곡,11.0,5566.0,10895.0,27837.0,41965.0,23072.0,18122.0,16162.0,15806.0,16365.0,15708.0,16476.0,20048.0,23150.0,29441.0,23394.0,13487.0,14452.0,11675.0,7638.0,1960.0,5.0,0.0,0.0,353236.0,6호선,상월곡(한국과학기술연구원),서울특별시
