,사용월,호선명,지하철역,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원
4495,202210,6호선,약수,14,1758,4397,10471,23073,13706,9657,9425,10364,11016,10155,11549,12880,16109,21199,12304,8471,8205,7169,3924,944,1,0,0,206791
4496,202210,6호선,역촌,1,2469,7959,18799,24286,12961,9567,10023,11219,11299,10451,11252,13777,15841,22326,17303,9626,9668,8072,5413,1474,0,0,0,233786
4497,202210,6호선,연신내,0,0,0,2,1,3,1,1,2,2,2,1,0,2,1,2,1,1,0,1,0,0,0,0,23
4498,202210,6호선,월곡(동덕여대),34,7684,17710,47041,73635,45038,35022,33326,32446,34756,35760,36211,45207,49790,66771,45773,29573,26834,22651,13837,3404,1,0,0,702504
4499,202210,6호선,월드컵경기장(성산),1,2299,6575,14827,21760,23058,33436,36538,36652,41946,46594,51164,52605,45334,44215,24250,16465,20254,8153,3094,701,0,0,0,529921
4500,202210,6호선,응암,24,12636,32920,80083,105078,60306,43884,42694,46118,45426,43983,48370,58047,69961,95983,72268,48495,40415,35745,23015,6179,0,0,0,1011630
4501,202210,6호선,이태원,577,23426,23471,24813,42311,36310,30044,33063,38458,42486,46493,53422,66837,84456,105081,92110,78454,77644,75703,60478,13020,0,0,0,1048657
4502,202210,6호선,증산(명지대앞),53,8795,19383,44536,58251,35947,26357,24409,26330,27098,26275,28939,34549,40606,54681,41033,25718,24794,20577,12252,3452,0,0,0,584035
4503,202210,6호선,창신,8,2880,7447,20186,23325,13165,8945,8127,8440,8440,8152,9465,10694,12436,14253,10529,7652,6902,6150,3668,911,0,0,0,191775
4504,202210,6호선,청구,11,2063,5254,13716,31478,17179,9377,8659,8706,9767,9001,10130,12026,13951,20131,14010,8853,7866,6926,3876,983,0,0,0,213963
4505,202210,6호선,태릉입구,4,5754,10689,23119,31627,20374,15333,17384,16144,17103,16948,17631,21858,24944,34007,26395,15647,15201,13536,9730,3819,0,0,0,357247
4506,202210,6호선,한강진,604,2754,9834,22971,45297,32962,24612,27302,29986,39621,34641,39988,52605,72240,73509,40024,29647,33952,39311,9828,2822,209,0,0,664719
4507,202210,6호선,합정,20,5650,13672,29629,61805,45253,31674,34904,38523,43141,41687,45789,52773,66333,92393,60726,44556,46192,40708,25694,4821,1,0,0,825944
4508,202210,6호선,화랑대(서울여대입구),14,7538,23495,65976,73461,41478,28686,28012,26878,29921,26581,29824,35795,42290,50874,40184,24025,22190,18954,12183,3539,15,0,0,631913
4509,202210,6호선,효창공원앞,26,3364,9409,24656,51189,30812,23261,20355,20517,21448,19886,21128,26349,31722,44134,24343,16139,15686,13252,7836,2386,0,0,0,427898
4510,202210,7호선,가산디지털단지,752,14092,36911,132458,372811,216130,76686,59653,65771,72951,73486,81311,102837,219771,318173,140110,79878,65115,38191,19251,4437,0,0,0,2190775
4511,202210,7호선,강남구청,32,3558,18732,39614,112942,113314,51325,37224,36934,41701,41775,44704,49672,69295,109279,65798,41948,38873,30018,13838,3167,0,0,0,963743
4512,202210,7호선,건대입구,71,5352,12544,29553,56509,45804,39979,37565,40755,45131,46917,49698,55250,68374,75329,52949,42416,36793,32946,19325,5406,196,0,0,798862
4513,202210,7호선,고속터미널,29,3566,23281,45210,68915,60013,53852,54637,51273,56218,54752,57649,63222,77639,77039,52592,49222,43848,32395,12979,1435,3,0,0,939769
4514,202210,7호선,공릉(서울과학기술대),18,7259,18513,47726,66180,43171,32521,30640,34431,35549,33830,37376,46098,51161,63791,48371,30929,28897,26159,16045,4383,0,0,0,703048
4515,202210,7호선,광명사거리,190,27965,41887,93980,110945,71737,56324,56448,61332,64034,62719,67503,79255,92773,112343,82861,51080,43198,34720,20142,4661,11,0,0,1236108
